swab_id,Indiv_id,Frog_or_Tadpole,Tank_num,Indiv_num,InitialFrogs,ZE,alive, site_name,date_collected,Julian,Day,observer,species,lifestage, gosner_stage,weight,svl,sex,notes,pit_tag,frog_condition,total_wt, bag_wt,ct0,ct1,ge0,ge1,avg_ge_score
MDF1_1_JUL20,MDF1_1,F,1,1,16,0,yes, mesocosm density experiment,7/20/2008,39649,0, MT, Rana sierrae, adult,46,8.7,46.6, M,,3706826, healthy,9.6,1,0,,0,,0
MDF1_1_Jul24,MDF1_1,F,1,1,16,0,yes, mesocosm density experiment,7/24/2008,39653,4, MT, Rana sierrae, adult,46,9,45, M,,3706826, healthy,11.9,2.9,0,,0,,0
MDF1_1_Jul31,MDF1_1,F,1,1,16,9.688,yes, mesocosm density experiment,7/31/2008,39660,11, JS, Rana sierrae, adult,46,8.3,43.4, M,,3706826, healthy,10.9,2.6,38.6868,,0.1211,,0.1211
MDF1_1_AUG7,MDF1_1,F,1,1,16,566.688,yes, mesocosm density experiment,8/7/2008,39667,18, MHT, Rana sierrae, adult,46,8.5,46.2, M,,3706826, Healthy,9.9,1.4,33.0524,,7.0836,,7.0836
MDF1_1_Aug14,MDF1_1,F,1,1,16,49749.416,yes, mesocosm density experiment,8/14/2008,39674,25, MHT, Rana sierrae, adult,46,8.5,45.2, M,,3706826, Healthy,9.7,1.2,25.7202,,621.8677,,621.8677
MDF1_1_Aug21,MDF1_1,F,1,1,16,73646.16,yes, mesocosm density experiment,8/20/2008,39680,31, CJB, Rana sierrae, adult,46,7.8,43, M,,3706826,,9,1.2,24.6779,,920.577,,920.577
MDF1_1_Aug27,MDF1_1,F,1,1,16,9527.12,yes, mesocosm density experiment,8/26/2008,39686,37, CJB, Rana sierrae, adult,46,8.5,43, M,,3706826,,9.6,1.1,27.8422,,119.089,,119.089
MDF1_1_Sep3,MDF1_1,F,1,1,16,4.24,yes, mesocosm density experiment,9/4/2008,39695,46, EC, Rana sierrae, adult,46,7.8,43.4, M,,3706826, HEALTHY,8.9,1.1,39.9938,,0.053,,0.053
MDF1_1_Sep11,MDF1_1,F,1,1,16,0,yes, mesocosm density experiment,9/11/2008,39702,53, EC, Rana sierrae, adult,46,8.4,42.8, M,,3706826,,9.6,1.2,0,,0,,0
MDF1_1_Sep18,MDF1_1,F,1,1,16,35.168,yes, mesocosm density experiment,9/19/2008,39710,61, EC, Rana sierrae, adult,46,8.6,42.9, M,,3706826, healthy,9.7,1.1,37.255,,0.4396,,0.4396
MDF1_1_Sep24,MDF1_1,F,1,1,16,0,yes, mesocosm density experiment,9/25/2008,39716,67, EC, Rana sierrae, adult,46,9.2,43.4, M,,3706826, healthy,10.3,1.1,0,,0,,0
MDF1_1_Oct1,MDF1_1,F,1,1,16,5.752,yes, mesocosm density experiment,10/2/2008,39723,74, MT, Rana sierrae, adult,46,10.1,46, M,,3706826, healthy,12.6,2.5,40.0659,,0.0719,,0.0719
