size,sizeNext,swab_id,time,Day,individual,density,weight,svl,sex,ze_tadpoles,tank_num,ze_frogs,num_infected,cum_ze_frogs,cum_ze_tadpoles
0.0,0.0,MDF10_1_Jul25,5.0,5.0,MDF10_1,16.0,6.7,42.4, F,3580.2,10.0,0.0,0.0,0.0,3580.2
0.0,0.0,MDF10_1_Jul31,6.0,11.0,MDF10_1,16.0,7.3,44, F,355.184,10.0,0.0,0.0,0.0,3935.384
0.0,3.776,MDF10_1_AUG7,7.0,18.0,MDF10_1,16.0,6.4,41.4, F,12.184,10.0,0.0,0.0,0.0,3947.568
3.776,340.072,MDF10_1_Aug14,7.0,25.0,MDF10_1,16.0,6.3,41.85, F,2105.864,10.0,280.832,14.0,280.832,6053.432
340.072,27650.792,MDF10_1_Aug21,7.0,32.0,MDF10_1,16.0,5.5,40.7, F,498.136,10.0,16487.304,16.0,16768.136,6551.568
27650.792,2350.568,MDF10_1_Aug27,5.0,37.0,MDF10_1,16.0,6.7,40.7, F,11743.24,10.0,153349.136,16.0,170117.272,18294.808
2350.568,2086.112,MDF10_1_Sep3,9.0,46.0,MDF10_1,16.0,5.4,40.1, F,1866.816,10.0,86863.264,16.0,256980.536,20161.624
2086.112,19.864,MDF10_1_Sep11,8.0,54.0,MDF10_1,16.0,5.8,40.7, F,28.32,10.0,15620.48,17.0,272601.016,20189.944
19.864,283.104,MDF10_1_Sep18,7.0,61.0,MDF10_1,16.0,6.0,40.4, F,8.616,10.0,888.944,16.0,273489.96,20198.56
283.104,38.312,MDF10_1_Sep24,6.0,67.0,MDF10_1,16.0,5.5,40.1, F,87.552,10.0,10569.472,17.0,284059.432,20286.112
38.312,59.632,MDF10_1_Oct1,7.0,74.0,MDF10_1,16.0,6.5,43.9, F,46.768,10.0,21379.952,16.0,305439.384,20332.88
0.0,0.0,MDF10_2_Jul25,5.0,5.0,MDF10_2,16.0,7.6,42.1, M,3580.2,10.0,0.0,0.0,0.0,3580.2
0.0,0.0,MDF10_2_Jul31,6.0,11.0,MDF10_2,16.0,7.9,42.7, M,355.184,10.0,0.0,0.0,0.0,3935.384
0.0,4.904,MDF10_2_AUG7,7.0,18.0,MDF10_2,16.0,6.7,41, M,12.184,10.0,0.0,0.0,0.0,3947.568
4.904,875.824,MDF10_2_Aug14,7.0,25.0,MDF10_2,16.0,6.9,44.3, M,2105.864,10.0,280.832,14.0,280.832,6053.432
875.824,33228.08,MDF10_2_Aug21,7.0,32.0,MDF10_2,16.0,6.6,40.8, M,498.136,10.0,16487.304,16.0,16768.136,6551.568
33228.08,5876.816,MDF10_2_Aug27,5.0,37.0,MDF10_2,16.0,7.6,42.5, M,11743.24,10.0,153349.136,16.0,170117.272,18294.808
5876.816,1699.232,MDF10_2_Sep3,9.0,46.0,MDF10_2,16.0,7.1,42.3, M,1866.816,10.0,86863.264,16.0,256980.536,20161.624
1699.232,9.056,MDF10_2_Sep11,8.0,54.0,MDF10_2,16.0,7.3,40.8, M,28.32,10.0,15620.48,17.0,272601.016,20189.944
9.056,0.96,MDF10_2_Sep18,7.0,61.0,MDF10_2,16.0,7.4,42.6, M,8.616,10.0,888.944,16.0,273489.96,20198.56
0.96,16.544,MDF10_2_Sep24,6.0,67.0,MDF10_2,16.0,7.2,42.8, M,87.552,10.0,10569.472,17.0,284059.432,20286.112
16.544,1.872,MDF10_2_Oct1,7.0,74.0,MDF10_2,16.0,7.6,40.5, M,46.768,10.0,21379.952,16.0,305439.384,20332.88
1.872,0.0,MDF10_2_Dec4,63.0,137.0,MDF10_2,16.0,8.4,43, M,33.36,10.0,41155.584,16.0,346594.968,20366.24
0.0,0.0,MDF10_3_Jul25,5.0,5.0,MDF10_3,16.0,7.1,41.8, F,3580.2,10.0,0.0,0.0,0.0,3580.2
0.0,0.0,MDF10_3_Jul31,6.0,11.0,MDF10_3,16.0,7.1,41, F,355.184,10.0,0.0,0.0,0.0,3935.384
0.0,1.936,MDF10_3_AUG7,7.0,18.0,MDF10_3,16.0,6.5,41.5, F,12.184,10.0,0.0,0.0,0.0,3947.568
1.936,138.464,MDF10_3_Aug14,7.0,25.0,MDF10_3,16.0,5.7,41.6, F,2105.864,10.0,280.832,14.0,280.832,6053.432
138.464,1159.44,MDF10_3_Aug21,7.0,32.0,MDF10_3,16.0,5.9,43.3, F,498.136,10.0,16487.304,16.0,16768.136,6551.568
1159.44,5039.256,MDF10_3_Aug27,5.0,37.0,MDF10_3,16.0,5.2,40.9, F,11743.24,10.0,153349.136,16.0,170117.272,18294.808
5039.256,114.072,MDF10_3_Sep3,9.0,46.0,MDF10_3,16.0,7.7,41.6, F,1866.816,10.0,86863.264,16.0,256980.536,20161.624
114.072,298.88,MDF10_3_Sep11,8.0,54.0,MDF10_3,16.0,8.0,43.4, F,28.32,10.0,15620.48,17.0,272601.016,20189.944
298.88,121.592,MDF10_3_Sep18,7.0,61.0,MDF10_3,16.0,8.1,43.2, F,8.616,10.0,888.944,16.0,273489.96,20198.56
121.592,5.48,MDF10_3_Sep24,6.0,67.0,MDF10_3,16.0,6.6,41.8, F,87.552,10.0,10569.472,17.0,284059.432,20286.112
5.48,4.552,MDF10_3_Oct1,7.0,74.0,MDF10_3,16.0,8.4,43.4, F,46.768,10.0,21379.952,16.0,305439.384,20332.88
4.552,0.0,MDF10_3_Dec4,63.0,137.0,MDF10_3,16.0,8.3,42.5, F,33.36,10.0,41155.584,16.0,346594.968,20366.24
0.0,0.0,MDF10_4_Jul25,5.0,5.0,MDF10_4,16.0,7.5,43.3, M,3580.2,10.0,0.0,0.0,0.0,3580.2
0.0,0.0,MDF10_4_Jul31,6.0,11.0,MDF10_4,16.0,7.4,39.7, M,355.184,10.0,0.0,0.0,0.0,3935.384
0.0,7.416,MDF10_4_AUG7,7.0,18.0,MDF10_4,16.0,7.0,42, M,12.184,10.0,0.0,0.0,0.0,3947.568
7.416,131.592,MDF10_4_Aug14,7.0,25.0,MDF10_4,16.0,6.4,43, M,2105.864,10.0,280.832,14.0,280.832,6053.432
131.592,4283.472,MDF10_4_Aug21,7.0,32.0,MDF10_4,16.0,6.2,41.2, M,498.136,10.0,16487.304,16.0,16768.136,6551.568
4283.472,1906.192,MDF10_4_Aug27,5.0,37.0,MDF10_4,16.0,6.9,41, M,11743.24,10.0,153349.136,16.0,170117.272,18294.808
